,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
156,Holiday,Holiday Night - The 6th Album,Girls' Generation,2017-08-04,199563,53,1,1,0.709,0.0406,0.867,0.0,0.275,-3.258,0.0672,120.022,4,0.877,noon
157,2002,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,186986,82,1,0,0.697,0.0372,0.683,0.0,0.137,-2.881,0.117,96.133,4,0.603,noon
158,Pretty Girl - Cheat Codes X CADE Remix,Pretty Girl (Cheat Codes X CADE Remix),Maggie Lindemann,2017-03-03,193613,60,7,0,0.703,0.15,0.868,0.132,0.104,-4.661,0.0291,121.03,4,0.733,noon
159,Say So,Hot Pink,Doja Cat,2019-11-07,237893,80,11,0,0.787,0.264,0.673,3.35e-06,0.0904,-4.583,0.159,110.962,4,0.779,noon
160,Kiss and Make Up,Dua Lipa (Complete Edition),Dua Lipa,2018-10-19,189173,75,8,1,0.678,0.0658,0.729,0.0,0.303,-4.188,0.137,99.895,4,0.643,noon
161,Shout Out to My Ex,Glory Days: The Platinum Edition,Little Mix,2017-11-24,246240,1,5,1,0.773,0.0239,0.747,8.23e-06,0.11,-4.061,0.0889,126.014,4,0.8,noon
162,Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,2009-01-01,202066,81,10,0,0.652,0.00112,0.698,0.000115,0.0886,-4.667,0.042,96.021,4,0.47,noon
163,The Man,Lover,Taylor Swift,2019-08-23,190360,80,0,1,0.777,0.0767,0.658,0.0,0.0901,-5.191,0.054,110.048,4,0.633,noon
164,If I Can't Have You,If I Can't Have You,Shawn Mendes,2019-05-03,190800,74,2,1,0.692,0.524,0.809,0.0,0.147,-4.198,0.0602,123.911,4,0.864,noon
165,Break My Heart,Future Nostalgia,Dua Lipa,2020-03-27,221820,79,4,0,0.73,0.167,0.729,1.39e-06,0.349,-3.434,0.0884,113.011,4,0.467,noon
166,Good as Hell (feat. Ariana Grande) - Remix,Good as Hell (feat. Ariana Grande) [Remix],Lizzo,2016,159011,67,5,0,0.668,0.298,0.892,0.0,0.735,-3.001,0.0645,95.927,4,0.478,noon
167,Stupid Love,Stupid Love,Lady Gaga,2020-02-28,193530,33,8,1,0.676,0.00146,0.815,0.00041,0.275,-4.294,0.0625,117.973,4,0.796,noon
168,Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,81,11,0,0.794,0.0125,0.793,0.0,0.0952,-4.521,0.0842,123.941,4,0.677,noon
169,ME! (feat. Brendon Urie of Panic! At The Disco),ME!,Taylor Swift,2019-04-26,193040,0,0,1,0.614,0.0291,0.839,0.0,0.112,-4.143,0.0702,182.123,4,0.657,noon
170,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,2019-05-10,219946,79,6,1,0.798,0.0912,0.675,0.0,0.0894,-5.041,0.0442,101.956,4,0.842,noon
171,Who Says,When The Sun Goes Down,Selena Gomez & The Scene,2011-01-01,195613,77,4,1,0.682,0.0843,0.927,0.0,0.149,-2.915,0.0479,101.019,4,0.744,noon
172,I Forgot That You Existed,Lover,Taylor Swift,2019-08-23,170640,73,5,1,0.664,0.298,0.316,2.03e-06,0.0812,-10.345,0.519,92.875,4,0.541,noon
173,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Summer Feelings (feat. Charlie Puth),Lennon Stella,2020-04-23,160289,68,5,0,0.696,0.262,0.686,0.0,0.174,-6.113,0.0309,115.982,4,0.7,noon
174,Cool,Happiness Begins,Jonas Brothers,2019-06-07,167106,65,0,1,0.683,0.00873,0.598,0.0,0.156,-5.487,0.0423,78.969,4,0.62,noon
175,Really Don't Care,Demi,Demi Lovato,2013-01-01,201600,71,7,1,0.706,0.123,0.728,0.0,0.185,-3.602,0.0852,121.017,4,0.851,noon
176,Shake It Off,1989 (Deluxe),Taylor Swift,2014-01-01,219200,82,7,1,0.647,0.0647,0.8,0.0,0.334,-5.384,0.165,160.078,4,0.942,noon
177,Lush Life,Lush Life,Zara Larsson,2015-06-09,201122,0,7,0,0.694,0.133,0.712,0.0,0.211,-3.923,0.046,98.022,4,0.799,noon
178,Bad Romance,The Fame Monster (UK Deluxe),Lady Gaga,2009-01-01,294466,46,0,1,0.693,0.0034,0.924,4.4e-05,0.0926,-3.711,0.0392,118.983,4,0.715,noon
179,Born This Way,Born This Way (International Special Edition Version),Lady Gaga,2011-05-23,260253,75,11,1,0.587,0.00327,0.828,0.0,0.331,-5.108,0.161,123.907,4,0.494,noon
180,Always Remember Us This Way,A Star Is Born Soundtrack,Lady Gaga,2018-10-05,210200,71,0,1,0.553,0.299,0.502,0.0,0.764,-5.972,0.0409,129.976,4,0.296,noon
181,Perfect Illusion,Joanne (Deluxe),Lady Gaga,2016-10-21,182000,49,1,0,0.613,0.0012,0.857,0.0,0.358,-5.492,0.0366,124.987,4,0.664,noon
182,Joanne,Joanne (Deluxe),Lady Gaga,2016-10-21,196906,42,7,1,0.549,0.146,0.414,0.0,0.0998,-8.453,0.0273,149.746,4,0.404,noon
183,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,91,1,1,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0.334,noon
184,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,90,0,1,0.548,0.122,0.816,0.0,0.335,-4.209,0.0465,95.39,4,0.557,noon
185,Make you happy,Make you happy,NiziU,2020-06-30,184520,0,7,1,0.78,0.0436,0.885,2.8e-05,0.105,-3.745,0.122,160.087,4,0.808,noon
186,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,78,9,1,0.806,0.3,0.546,0.0,0.102,-6.637,0.0575,147.986,4,0.874,noon
187,I Knew You Were Trouble.,Red (Deluxe Edition),Taylor Swift,2012-10-22,219720,63,3,0,0.622,0.00454,0.469,2.25e-06,0.0335,-6.798,0.0363,77.019,4,0.679,noon
188,I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,1987-06-02,291293,82,1,1,0.709,0.207,0.824,0.000307,0.0888,-8.824,0.0453,118.818,4,0.867,noon
189,Emotions,Emotions,Mariah Carey,1991-09-17,248093,63,9,0,0.74,0.0409,0.752,0.00125,0.0233,-7.008,0.0359,114.851,4,0.939,noon
190,Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,2012-12-07,233478,87,5,1,0.726,0.049,0.698,0.0,0.309,-4.165,0.0431,143.994,4,0.867,noon
191,Treasure,Unorthodox Jukebox,Bruno Mars,2012-12-07,178560,81,5,0,0.874,0.0412,0.692,7.24e-05,0.324,-5.28,0.0431,116.017,4,0.937,noon
192,Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Various Artists,2013-06-18,233305,1,1,1,0.652,0.286,0.757,0.0,0.0886,-6.819,0.153,159.911,4,0.962,noon
193,What Makes You Beautiful,Up All Night,One Direction,2012-05-25,199986,85,4,1,0.726,0.009,0.787,0.0,0.0596,-2.494,0.0737,124.99,4,0.888,noon
194,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,2017-04-20,199440,1,2,1,0.857,0.381,0.8,0.0,0.0913,-4.035,0.0583,121.996,4,0.966,noon
195,Love Story,Fearless,Taylor Swift,2008-11-11,235266,70,2,1,0.618,0.17,0.741,0.0,0.0822,-3.95,0.031,118.984,4,0.296,noon
196,Live While We're Young,Take Me Home: Yearbook Edition,One Direction,2012-11-09,200186,0,2,1,0.658,0.0629,0.837,0.0,0.0969,-2.063,0.0543,126.015,4,0.936,noon
197,Good Time,The Midsummer Station,Owl City,2012-01-01,205933,78,3,1,0.56,0.0239,0.872,6.98e-06,0.371,-4.269,0.14,126.05,4,0.682,noon
198,Price Tag,Who You Are (Platinum Edition),Jessie J,2011-01-01,223053,76,5,1,0.636,0.0294,0.831,3.85e-06,0.272,-3.945,0.182,175.015,4,0.668,noon
199,California Gurls,Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,234653,77,0,1,0.791,0.00446,0.754,0.0,0.163,-3.729,0.0569,125.014,4,0.425,noon
200,So What,Greatest Hits...So Far!!!,P!nk,2010-11-12,214520,0,11,1,0.531,0.000105,0.864,2.05e-06,0.346,-2.978,0.0433,126.02,4,0.402,noon
201,Birthday,PRISM (Deluxe),Katy Perry,2013-10-18,215042,63,11,1,0.719,0.0879,0.674,3.75e-06,0.112,-5.122,0.0681,125.98,4,0.843,noon
202,Roar,PRISM (Deluxe),Katy Perry,2013-10-18,223546,74,7,0,0.554,0.00487,0.772,6.6e-06,0.354,-4.821,0.0418,179.984,4,0.455,noon
203,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016-05-06,236001,79,0,1,0.666,0.0123,0.83,0.0,0.191,-5.715,0.0751,113.03,4,0.702,noon
204,Galway Girl,÷ (Deluxe),Ed Sheeran,2017-03-03,170826,79,9,1,0.624,0.0735,0.876,0.0,0.327,-3.374,0.1,99.943,4,0.781,noon
205,I Just Can't Wait to Be King,The Lion King (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2019-08-07,202986,13,6,1,0.683,0.143,0.701,0.0,0.618,-8.041,0.131,99.023,4,0.751,noon
206,The Lion Sleeps Tonight,The Lion King (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2019-08-07,84720,10,5,1,0.686,0.856,0.379,0.0,0.103,-15.243,0.223,137.953,4,0.923,noon
207,Into the Unknown,Frozen 2 (Original Motion Picture Soundtrack/Japanese Version),Various Artists,2019-11-22,194906,46,1,1,0.344,0.856,0.38,2.47e-05,0.135,-7.674,0.0423,157.669,3,0.32,noon
208,For the First Time in Forever - Japanese Version,Frozen (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2014-03-19,224933,34,0,1,0.389,0.895,0.412,0.0,0.321,-6.061,0.0316,92.998,4,0.501,noon
209,Let It Go,Frozen (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2014-03-19,223840,35,8,1,0.541,0.558,0.485,0.0,0.12,-6.85,0.031,136.956,4,0.369,noon
210,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,8,11,0,0.645,0.0923,0.862,0.0,0.192,-4.757,0.0965,119.991,4,0.798,noon
211,宿命,Traveler,Official HIGE DANdism,2019-09-11,280856,58,5,1,0.547,0.0152,0.577,0.0,0.109,-6.087,0.0336,164.032,4,0.494,noon
212,Sucker,Sucker,Jonas Brothers,2019-03-01,181040,3,1,0,0.842,0.0427,0.734,0.0,0.106,-5.065,0.0588,137.958,4,0.952,noon
213,us,us,milet,2019-08-19,254813,0,6,1,0.573,0.0399,0.778,0.0,0.0705,-4.363,0.0382,123.826,4,0.173,noon
214,Oh My!,SEVENTEEN 5TH MINI ALBUM 'YOU MAKE MY DAY',SEVENTEEN,2018-07-16,195004,64,5,0,0.682,0.245,0.888,0.0,0.0552,-3.25,0.267,91.966,4,0.903,noon
215,Adore U,SEVENTEEN 1st Mini Album ’17 CARAT’,SEVENTEEN,2015-05-29,186649,63,7,1,0.533,0.00281,0.851,1.57e-06,0.14,-3.435,0.201,203.802,4,0.77,noon
216,Mansae,SEVENTEEN 2nd Mini Album ‘BOYS BE’,SEVENTEEN,2015-09-10,186874,66,7,1,0.749,0.0547,0.955,0.0,0.112,-1.767,0.0867,111.96,4,0.761,noon
217,Pretty U,SEVENTEEN 1ST ALBUM [FIRST ‘LOVE&LETTER’],SEVENTEEN,2016-04-25,207299,69,8,1,0.642,0.0173,0.931,0.0,0.0815,-2.82,0.163,155.088,4,0.884,noon
218,9-TEEN,A-TEEN2 Part.2,SEVENTEEN,2019-05-19,197898,54,11,0,0.564,0.0503,0.776,0.0,0.396,-5.101,0.178,160.049,4,0.693,noon
219,A-TEEN,A-TEEN Part.3,SEVENTEEN,2018-08-13,196323,58,11,1,0.649,0.109,0.792,0.0,0.343,-4.677,0.0966,149.962,4,0.543,noon
220,Fronting,SEVENTEEN 2nd Mini Album ‘BOYS BE’,SEVENTEEN,2015-09-10,185354,52,0,1,0.82,0.139,0.844,0.0,0.0556,-3.109,0.272,100.057,4,0.806,noon
221,猫 ~THE FIRST TAKE ver.~,猫 ~THE FIRST TAKE ver.~,DISH//,2020-04-29,273233,0,8,1,0.641,0.564,0.576,0.0,0.114,-6.772,0.139,77.005,4,0.622,noon
222,Rare,Rare (Deluxe),Selena Gomez,2020-04-09,220589,58,5,1,0.838,0.208,0.545,8.01e-05,0.103,-6.713,0.0706,114.998,4,0.631,noon
223,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Selena Gomez,2018-05-10,207904,75,6,1,0.601,0.0945,0.724,1.68e-06,0.12,-4.856,0.0486,102.061,4,0.508,noon
224,Young Girls,Unorthodox Jukebox (Deluxe Edition),Bruno Mars,2012-12-11,228720,22,6,0,0.561,0.461,0.749,1.82e-06,0.205,-4.951,0.032,125.986,4,0.501,noon
225,Funny,Funny,Zedd,2020-07-16,221465,65,5,1,0.664,0.512,0.66,0.0,0.26,-4.646,0.0243,99.946,4,0.355,noon
226,Steal My Girl,FOUR (Deluxe),One Direction,2014-11-17,228133,81,10,0,0.536,0.00433,0.768,0.0,0.114,-5.948,0.0347,77.217,4,0.545,noon
227,Red,Red,Taylor Swift,2012-10-22,220826,62,1,0,0.602,0.0773,0.896,8.87e-05,0.091,-4.267,0.0437,124.978,4,0.641,noon
228,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,220734,80,5,1,0.635,0.0134,0.841,0.0,0.0622,-5.379,0.0422,109.021,4,0.424,noon
229,Drag Me Down,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,192120,81,0,0,0.73,0.109,0.703,0.0,0.0657,-5.672,0.0369,138.113,4,0.595,noon
230,We Are Never Ever Getting Back Together,Red,Taylor Swift,2012-10-22,191880,61,7,1,0.628,0.00957,0.676,2.65e-05,0.102,-5.911,0.0916,85.984,4,0.75,noon
231,Chained To The Rhythm,Witness,Katy Perry,2017-06-09,237734,0,0,1,0.448,0.0733,0.801,0.0,0.146,-5.363,0.165,189.798,4,0.462,noon
232,Sugar,V Japan Special Edition,Maroon 5,2015-07-22,235493,61,1,1,0.748,0.0591,0.788,0.0,0.0863,-7.055,0.0334,120.076,4,0.884,noon
233,Boyz with Fun,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,244156,0,1,0,0.704,0.0808,0.959,0.0,0.383,-2.607,0.192,116.024,4,0.751,noon
234,Baby,Dream Pt.01,ASTRO,2017-05-29,202777,0,1,0,0.795,0.09,0.877,0.0,0.221,-4.074,0.0558,108.002,4,0.848,noon
235,View,Odd - The 4th Album,SHINee,2015-05-18,190821,60,6,0,0.728,0.04,0.801,0.0,0.0415,-4.428,0.0439,123.953,4,0.656,noon
236,Go Go,Love Yourself 承 'Her',BTS,2017-09-18,235779,1,10,0,0.856,0.171,0.617,0.0,0.0857,-5.308,0.0841,136.082,4,0.759,noon
237,Burn It Up,1X1=1(TO BE ONE),Wanna One,2017-08-08,214942,38,11,0,0.642,0.0461,0.849,0.0,0.398,-3.266,0.0563,127.923,4,0.601,noon
238,LOVE ME LOVE ME,OUR TWENTY FOR,WINNER,2017-08-04,217308,0,9,0,0.753,0.0852,0.818,0.0,0.109,-4.458,0.0697,105.995,4,0.737,noon
239,All Mine,All Mine - SM STATION,f(x),2016-07-22,203857,46,11,1,0.585,0.176,0.85,0.0,0.457,-3.625,0.068,127.974,4,0.648,noon
240,Last night story,A flower bookmark,IU,2017-09-22,233050,45,6,0,0.599,0.0904,0.786,0.000474,0.0247,-4.795,0.0573,170.855,4,0.631,noon
241,러시안 룰렛 Russian Roulette,Russian Roulette - The 3rd Mini Album,Red Velvet,2016-09-07,211243,0,7,0,0.726,0.055,0.903,0.000225,0.158,-2.277,0.0357,129.986,4,0.958,noon
242,夜に駆ける,夜に駆ける,YOASOBI,2019-12-15,261013,74,8,1,0.67,0.00231,0.874,1.72e-05,0.3,-5.221,0.0305,130.041,4,0.789,noon
243,ハルジオン,ハルジオン,YOASOBI,2020-05-11,198000,62,0,0,0.686,0.0591,0.902,0.0,0.333,-2.657,0.034,130.02,4,0.901,noon
244,Paper Rings,Lover,Taylor Swift,2019-08-23,222400,83,9,1,0.811,0.0129,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,4,0.865,noon
245,Cornelia Street,Lover,Taylor Swift,2019-08-23,287266,75,0,1,0.824,0.781,0.624,0.000189,0.1,-9.728,0.0827,102.012,4,0.248,noon
246,You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,78,2,1,0.771,0.00929,0.671,0.0,0.0637,-5.617,0.0553,85.026,4,0.714,noon
247,Afterglow,Lover,Taylor Swift,2019-08-23,223293,77,9,1,0.756,0.13,0.449,0.0,0.114,-8.746,0.0344,111.011,4,0.399,noon
248,Daylight,Lover,Taylor Swift,2019-08-23,293453,75,0,1,0.557,0.808,0.496,0.000173,0.0772,-9.602,0.0563,149.983,4,0.265,noon
249,Welcome To New York,1989,Taylor Swift,2014-10-27,212600,31,7,1,0.793,0.038,0.634,1.76e-06,0.304,-4.807,0.0324,117.023,4,0.615,noon
250,Perfect,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,230333,79,2,1,0.647,0.0598,0.823,0.0,0.119,-5.231,0.0762,99.933,4,0.396,noon
251,Best Song Ever,Midnight Memories (Deluxe),One Direction,2013-11-25,200106,78,1,1,0.652,0.0227,0.877,0.0,0.0789,-2.986,0.0465,118.491,4,0.486,noon
252,Story of My Life,Midnight Memories (Deluxe),One Direction,2013-11-25,245493,83,3,1,0.6,0.225,0.663,0.0,0.119,-5.802,0.0477,121.07,4,0.286,noon
253,Happily,Midnight Memories (Deluxe),One Direction,2013-11-25,175480,67,9,1,0.623,0.0426,0.89,0.0,0.153,-4.783,0.0394,117.0,4,0.824,noon
254,Na Na Na,Up All Night,One Direction,2012-05-25,185653,59,11,1,0.582,0.0191,0.903,0.0,0.374,-2.155,0.0576,144.973,4,0.639,noon
255,Kiss You,Take Me Home,One Direction,2012-11-12,182960,0,4,1,0.63,0.0186,0.934,0.0,0.324,-2.559,0.0589,89.992,4,0.905,noon
256,Girlfriend,Off the Wall,Michael Jackson,1979-08-10,184933,52,6,0,0.883,0.4,0.4,1.33e-05,0.0756,-14.882,0.0498,102.767,4,0.905,noon
257,Perfect - Acoustic,Perfect (Acoustic),Ed Sheeran,2017-11-10,260866,62,7,1,0.432,0.459,0.377,0.0,0.114,-5.79,0.0304,94.973,3,0.394,noon
258,花束,スーパースター,back number,2011-10-26,286053,63,2,1,0.519,0.0178,0.713,0.0,0.353,-3.612,0.0324,159.963,4,0.505,noon
259,恋,アンコール,back number,2016-12-28,253693,55,9,1,0.425,0.0832,0.745,0.0,0.308,-2.814,0.0366,151.754,4,0.507,noon
260,だらん,Design & Reason,Noriyuki Makihara,2019-02-27,329693,0,11,0,0.788,0.427,0.898,1.68e-06,0.184,-5.338,0.0355,105.019,4,0.932,noon
261,どんなときも。,君は誰と幸せなあくびをしますか。,Noriyuki Makihara,1991-09-25,304506,56,6,1,0.691,0.344,0.809,0.000479,0.0893,-7.417,0.0291,123.827,4,0.915,noon
262,もう恋なんてしない,君は僕の宝物,Noriyuki Makihara,1992-06-25,272706,54,1,0,0.731,0.649,0.809,0.0,0.276,-6.596,0.0243,105.043,4,0.887,noon
263,ハッピーウェディング前ソング,Galaxy of the Tank-top,Yabai T-Shirts Yasan,2018-01-10,229093,53,6,0,0.49,0.0883,0.991,0.000271,0.262,-1.474,0.19,91.586,4,0.198,noon
264,栞,泣きたくなるほど嬉しい日々に,Creep Hyp,2018-09-26,261546,63,6,1,0.505,0.0117,0.883,0.0,0.0578,-3.094,0.0481,100.496,4,0.666,noon
265,できっこないを やらなくちゃ,きみのためにつよくなりたい,Sambomaster,2010-04-21,215413,0,9,1,0.371,7.21e-05,0.976,0.0,0.104,-2.19,0.0668,139.789,4,0.626,noon
266,イト,泣きたくなるほど嬉しい日々に,Creep Hyp,2018-09-26,216706,56,1,0,0.63,0.0633,0.807,0.0,0.386,-3.645,0.0311,131.971,4,0.937,noon
267,多分、風。,834.194,sakanaction,2019-06-19,292000,49,9,1,0.632,0.019,0.744,0.000959,0.103,-5.161,0.0372,139.06,4,0.613,noon
268,陽炎,834.194,sakanaction,2019-06-19,273000,43,0,1,0.671,0.0614,0.889,0.00956,0.319,-4.014,0.0371,131.965,4,0.879,noon
269,アイデンティティ,アイデンティティ,sakanaction,2010-08-04,253217,45,6,0,0.489,0.174,0.879,0.0,0.0773,-2.512,0.061,140.051,4,0.593,noon
270,Pop Virus,POP VIRUS,Gen Hoshino,2018-12-19,182000,52,9,1,0.629,0.0339,0.441,0.0,0.234,-4.614,0.126,78.177,4,0.782,noon
271,Family Song,Family Song,Gen Hoshino,2017-08-16,324000,52,7,1,0.532,0.0618,0.714,0.0,0.346,-4.556,0.0372,165.849,4,0.766,noon
272,Girl,Signed POP,Motohiro Hata,2013-01-30,306173,50,5,0,0.304,0.162,0.81,0.0,0.286,-3.448,0.0379,99.875,4,0.692,noon
273,スミレ,スミレ,Motohiro Hata,2016-02-24,223853,41,4,1,0.499,0.0178,0.858,0.0,0.128,-4.35,0.0371,150.043,4,0.666,noon
274,AM11:00,Street Story,HY,2003-04-16,319160,54,9,1,0.601,0.035,0.688,0.0,0.0978,-5.255,0.0288,98.015,4,0.252,noon
275,世界はそれを愛と呼ぶんだぜ,世界はそれを愛と呼ぶんだぜ,Sambomaster,2005-08-03,312626,0,2,1,0.345,0.00135,0.96,0.0,0.206,-3.164,0.122,141.349,4,0.425,noon
276,輝きだして走ってく,輝きだして走ってく,Sambomaster,2018-08-15,269466,47,2,1,0.444,0.0051,0.833,0.0,0.362,-3.182,0.0898,178.061,4,0.604,noon
277,忘れないで 忘れないで,忘れないで 忘れないで,Sambomaster,2020-05-06,207013,37,0,1,0.564,0.00309,0.89,7.67e-05,0.344,-3.802,0.054,106.097,4,0.735,noon
278,愛のために,29,Tamio Okuda,1995-03-08,298133,0,4,1,0.62,0.0103,0.78,0.0,0.0766,-8.174,0.0279,98.944,4,0.503,noon
279,サンシャインじゃない?,サンシャインじゃない?,Ulfuls,2020-05-20,299166,13,11,0,0.7,0.0479,0.921,1.64e-05,0.583,-3.403,0.0351,125.011,4,0.928,noon
280,そばかす,THE POWER SOURCE,JUDY AND MARY,1997-03-26,255706,0,9,1,0.487,0.0736,0.797,4.36e-06,0.377,-4.265,0.0424,169.839,4,0.573,noon
281,俺たちの明日,STARTING OVER,Elephant Kashimashi,2008-01-30,377626,51,4,1,0.579,0.048,0.803,0.0,0.392,-4.5,0.0355,122.055,4,0.555,noon
282,花束,花束,Sambomaster,2020-03-13,328026,44,7,1,0.669,0.00797,0.828,0.00175,0.0895,-4.69,0.0656,102.976,4,0.546,noon
283,群青日和,教育,Tokyo Incidents,2004-11-25,213266,55,9,1,0.105,4.26e-05,0.96,0.269,0.0843,0.028,0.0629,180.798,4,0.333,noon
284,キラーチューン,娯楽(バラエティ),Tokyo Incidents,2007-09-26,222320,54,8,1,0.49,0.00268,0.771,1.85e-05,0.128,-4.74,0.0372,123.496,4,0.425,noon
285,透明人間 - アルバムバージョン,大人,Tokyo Incidents,2005,270200,48,2,1,0.567,0.0129,0.809,0.00821,0.0562,-4.82,0.0365,163.068,4,0.898,noon
286,点描の唄,青と夏,Mrs. GREEN APPLE,2018-07-31,307066,73,0,1,0.502,0.447,0.632,0.0,0.103,-4.612,0.0273,152.014,4,0.308,noon
287,Lovers,アンサーパレード,sumika,2016,250800,0,11,1,0.608,0.0702,0.923,0.0,0.298,-2.057,0.0305,114.472,4,0.769,noon
288,ファンファーレ,ファンファーレ / 春夏秋冬,sumika,2018-08-29,187480,0,3,1,0.629,0.0282,0.945,0.0,0.252,-2.354,0.0487,109.092,4,0.715,noon
289,ソーダ,I co Y,sumika,2014,233240,0,8,1,0.228,0.00478,0.942,0.0,0.0851,-0.379,0.087,215.949,4,0.595,noon
290,I LOVE...,I LOVE...,Official HIGE DANdism,2020-02-12,282026,56,9,1,0.54,0.0171,0.706,0.0,0.225,-5.235,0.0543,172.021,4,0.385,noon
291,Pretender,Traveler,Official HIGE DANdism,2019-09-11,326842,65,8,1,0.538,0.047,0.869,0.0,0.14,-3.464,0.0275,91.972,4,0.369,noon
292,シグナル,Everybody!!,WANIMA,2018-01-17,219530,62,8,1,0.562,0.00419,0.935,0.0,0.322,-2.365,0.0525,97.513,4,0.655,noon
293,ともに,Everybody!!,WANIMA,2018-01-17,207368,63,6,1,0.553,0.00257,0.968,0.0,0.28,-2.57,0.0534,127.077,4,0.862,noon
294,渚の泡沫,COMINATCHA!!,WANIMA,2019-10-23,234692,32,9,1,0.563,0.00903,0.975,0.0,0.0778,-2.729,0.101,127.004,4,0.664,noon
295,ドラス,LOVE,Masaki Suda,2019-07-10,215866,0,1,0,0.385,0.000583,0.972,0.0,0.364,-2.254,0.108,128.567,4,0.369,noon
296,NA,NA,Nissy,2019-06-24,258733,42,0,1,0.684,0.00234,0.78,0.0,0.11,-4.352,0.0351,127.95,4,0.762,noon
297,トリコ,Nissy Entertainment 5th Anniversary BEST,Nissy,2019-02-04,232439,48,2,1,0.63,0.0851,0.8,0.0,0.0618,-3.427,0.036,90.02,4,0.717,noon
298,Ca Va?,Devil,Vickeblanka,2020-03-04,248186,36,4,1,0.737,0.0476,0.886,2.15e-06,0.0661,-5.449,0.0698,111.022,4,0.375,noon
299,アジアの純真,amiyumi,Puffy AmiYumi,1996-07-22,287493,0,4,1,0.557,0.0503,0.737,1.23e-05,0.0734,-5.047,0.0349,126.094,4,0.244,noon
300,東京VICTORY,葡萄,サザンオールスターズ,2015-03-31,308800,50,9,1,0.529,0.277,0.87,1.75e-06,0.117,-4.269,0.0342,144.01,4,0.607,noon
301,栄光の男,葡萄,サザンオールスターズ,2015-03-31,285933,39,2,1,0.478,0.285,0.827,3.42e-06,0.0992,-4.21,0.0485,139.924,4,0.542,noon
302,壮年JUMP,壮年JUMP,サザンオールスターズ,2018-07-23,270773,37,2,1,0.485,0.54,0.734,0.000479,0.0822,-4.799,0.0388,166.128,4,0.505,noon
303,BLUE BIRD,Secret,Ayumi Hamasaki,2006-11-29,246233,54,6,1,0.625,0.104,0.92,0.0,0.0506,-5.674,0.0468,122.019,4,0.463,noon
304,Liar,Liar,Camila Cabello,2019-09-04,207038,65,11,0,0.74,0.0169,0.498,0.00282,0.319,-6.684,0.0456,98.016,4,0.652,noon
305,Adore You,Fine Line,Harry Styles,2019-12-13,207133,86,8,1,0.676,0.0237,0.771,7e-06,0.102,-3.675,0.0483,99.048,4,0.569,noon
306,Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,80,9,0,0.759,0.0392,0.548,0.0,0.0828,-6.049,0.029,116.967,4,0.749,noon
307,I Know What You Did Last Summer,Handwritten (Revisited),Shawn Mendes,2015-11-20,223826,0,9,0,0.657,0.123,0.769,0.0,0.245,-4.591,0.115,113.966,4,0.712,noon
308,Daydreamin',Yours Truly,Ariana Grande,2013-01-01,211293,58,7,1,0.675,0.233,0.643,0.0,0.561,-6.004,0.0315,114.051,3,0.325,noon
309,Honeymoon Avenue,Yours Truly,Ariana Grande,2013-01-01,339733,55,8,0,0.692,0.218,0.608,0.0,0.348,-5.233,0.041,125.012,4,0.449,noon
310,Elektrisk,Hei (Fan Spesial),Marcus & Martinus,2015-12-17,200026,59,5,1,0.679,0.00595,0.903,4.71e-06,0.118,-5.326,0.04,127.977,4,0.84,noon
